縣市別代碼,測站名稱,測站代號,民國年,月,日,總懸浮微粒_μg/m3
66000,霧峰線路中心,3410310A0015,112,3,24,52.7
66000,文山國小,3432410A0011,112,3,10,102.2
66000,文山國小,3432410A0011,112,3,24,59
66000,中山國小,3408710A0013,112,3,10,67.3
66000,中山國小,3408710A0013,112,3,24,33.7
66000,梧棲衛生所,3409110A0005,112,4,7,93.4
66000,梧棲衛生所,3409110A0005,112,4,21,47.3
66000,霧峰線路中心,3410310A0015,112,4,7,65.3
66000,霧峰線路中心,3410310A0015,112,4,21,39.6
66000,文山國小,3432410A0011,112,4,7,24.2
66000,文山國小,3432410A0011,112,4,21,43.5
66000,中山國小,3408710A0013,112,4,7,29.1
66000,中山國小,3408710A0013,112,4,21,13.8
66000,梧棲衛生所,3409110A0005,112,5,5,64.5
66000,梧棲衛生所,3409110A0005,112,5,19,30.9
66000,霧峰線路中心,3410310A0015,112,5,5,60.5
66000,霧峰線路中心,3410310A0015,112,5,19,20.5
66000,文山國小,3432410A0011,112,5,5,43.9
66000,文山國小,3432410A0011,112,5,19,24.4
66000,中山國小,3408710A0013,112,5,5,50.1
66000,中山國小,3408710A0013,112,5,19,15.9
66000,梧棲衛生所,3409110A0005,112,6,16,43.9
66000,梧棲衛生所,3409110A0005,112,6,30,54.4
66000,霧峰線路中心,3410310A0015,112,6,16,41.9
66000,霧峰線路中心,3410310A0015,112,6,30,25.4
66000,文山國小,3432410A0011,112,6,16,42.9
66000,文山國小,3432410A0011,112,6,30,31.7
66000,中山國小,3408710A0013,112,6,16,31.2
66000,中山國小,3408710A0013,112,6,30,16.9
66000,梧棲衛生所,3409110A0005,112,7,14,29.8
66000,梧棲衛生所,3409110A0005,112,7,26,63.5
66000,霧峰線路中心,3410310A0015,112,7,14,28.4
66000,霧峰線路中心,3410310A0015,112,7,26,20.4
66000,文山國小,3432410A0011,112,7,14,27.4
66000,文山國小,3432410A0011,112,7,26,21.7
66000,中山國小,3408710A0013,112,7,14,18.1
66000,中山國小,3408710A0013,112,7,26,27.3
66000,梧棲衛生所,3409110A0005,112,8,11,46
66000,梧棲衛生所,3409110A0005,112,8,29,45.9
66000,霧峰線路中心,3410310A0015,112,8,11,22.6
66000,霧峰線路中心,3410310A0015,112,8,29,34.9
66000,文山國小,3432410A0011,112,8,11,25
66000,文山國小,3432410A0011,112,8,29,38.1
66000,中山國小,3408710A0013,112,8,11,13.8
66000,中山國小,3408710A0013,112,8,29,22.7
66000,梧棲衛生所,3409110A0005,112,9,7,33.6
66000,梧棲衛生所,3409110A0005,112,9,20,48.2
66000,霧峰線路中心,3410310A0015,112,9,7,22.6
66000,霧峰線路中心,3410310A0015,112,9,20,47.9
66000,文山國小,3432410A0011,112,9,7,30.1
66000,文山國小,3432410A0011,112,9,20,42.6
66000,中山國小,3408710A0013,112,9,7,18.9
66000,中山國小,3408710A0013,112,9,20,26
66000,梧棲衛生所,3409110A0005,112,10,13,116.2
66000,梧棲衛生所,3409110A0005,112,10,20,84.3
66000,霧峰線路中心,3410310A0015,112,10,13,47.6
66000,霧峰線路中心,3410310A0015,112,10,20,64.2
66000,文山國小,3432410A0011,112,10,13,75.6
66000,文山國小,3432410A0011,112,10,20,65.1
66000,中山國小,3408710A0013,112,10,13,18.4
